timestamp,arduino_temp_c,arduino_humidity,ruuvi_temp_c,ruuvi_humidity,temp_diff,hum_diff,notes
2026-02-27 10:40,20.9,,20.1,28.4,-0.80,,Initial reading from screenshot
2026-02-27T11:19:09,20.1,25.9,20.3,28.2,+0.20,+2.30,Auto-logged
2026-02-27T11:29:38.075474,20.3,25.9,20.4,28.1,+0.10,+2.20,Auto-logged
2026-02-27T11:38:57.015283,20.4,26.4,20.4,28.2,,+1.80,Auto-logged
2026-02-27T11:39:33.048230,20.4,26.4,20.4,28.2,,+1.80,Auto-logged
2026-02-27T11:39:53.192809,20.4,26.6,20.4,28.2,,+1.60,Auto-logged
2026-02-27T11:50:16.133206,20.4,26.0,20.5,28.1,+0.10,+2.10,Auto-logged
2026-02-27T13:02:27.342304,20.4,26.3,20.5,28.3,+0.10,+2.00,Auto-logged
2026-02-27T18:00:49.549083,21.1,28.9,21.1,30.2,,+1.30,Auto-logged
2026-02-27T21:53:26.196668,20.1,29.2,19.8,30.3,-0.30,+1.10,Auto-logged
2026-02-28T06:00:25.125293,16.9,28.2,16.8,30.0,-0.10,+1.80,Auto-logged
2026-02-28T12:00:37.315804,18.7,27.0,18.6,29.4,-0.10,+2.40,Auto-logged
2026-02-28T17:04:51.941469,18.2,26.5,18.0,29.2,-0.20,+2.70,Auto-logged
2026-02-28T21:03:05.377088,18.2,26.0,18.1,28.7,-0.10,+2.70,Auto-logged
2026-03-01T06:28:40.886581,14.7,25.7,14.7,28.4,,+2.70,Auto-logged
2026-03-01T12:02:22.556326,18.2,25.2,18.3,27.9,+0.10,+2.70,Auto-logged
2026-03-01T18:01:21.426881,18.4,27.2,18.4,29.3,,+2.10,Auto-logged
2026-03-01T21:00:58.731823,18.3,26.2,18.2,28.7,-0.10,+2.50,Auto-logged
2026-03-02T05:03:38.391917,15.4,25.5,15.1,28.1,-0.30,+2.60,Auto-logged
2026-03-02T11:36:36.405937,17.9,25.7,18.0,28.1,+0.10,+2.40,Auto-logged
2026-03-02T17:11:43.193779,18.0,27.3,18.0,28.8,,+1.50,Auto-logged
2026-03-02T19:58:15.601428,18.2,26.7,18.2,28.8,,+2.10,Auto-logged
2026-03-03T05:08:23.142001,16.2,27.0,16.2,29.1,,+2.10,Auto-logged
2026-03-03T12:00:32.078550,18.4,28.6,18.3,30.2,-0.10,+1.60,Auto-logged
2026-03-03T16:51:20.149573,18.1,29.6,18.1,31.2,,+1.60,Auto-logged
2026-03-03T20:04:17.510566,18.5,29.3,18.6,30.8,+0.10,+1.50,Auto-logged
2026-03-04T06:08:07.985680,16.5,28.6,16.5,30.6,,+2.00,Auto-logged
2026-03-04T11:56:36.394960,17.2,30.3,17.3,31.7,+0.10,+1.40,Auto-logged
2026-03-04T16:59:40.047459,17.1,32.3,17.1,33.3,,+1.00,Auto-logged
2026-03-04T21:00:35.610239,18.5,31.3,18.5,32.6,,+1.30,Auto-logged
2026-03-05T05:44:03.704673,16.7,31.8,16.6,33.2,-0.10,+1.40,Auto-logged
2026-03-05T10:01:37.898733,17.0,34.6,17.2,34.3,+0.20,-0.30,Auto-logged
